merge_code,date,time block,"planting? 0 = N, 1 = Y",site_code,%corn,mortality,DBT_sample_id,DBT_dinotefuran,DBT_nitenpyram,DBT_thiamethoxam,DBT_clothianidin,DBT_imidacloprid,DBT_acetamiprid,DBT_thiacloprid,Pollen sample_id,FP_dinotefuran,FP_nitenpyram,FP_thiamethoxam,FP_clothianidin,FP_imidacloprid,FP_acetamiprid,FP_thiacloprid,,,,,,,,,,,,,,,,,,,
2015HR603,06/03/2015,10,0,HR,30,-0.758052217,DBT_94,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015IB429,04/29/2015,1,0,IB,22,-0.518054002,DBT_5,< 0.122,< 0.206,< 2.347,148.91,< 0.064,< 0.556,< 0.182,FP_5,< 0.040,< 0.434,2.641,3.747,3.611,0.484,< 0.061,,,,,,,,,,,,,,,,,,,
2015IB502,05/02/2015,2,1,IB,22,-0.17986137,DBT_15,< 0.122,< 0.206,8.22,26.63,< 0.064,1.26,< 0.182,FP_15,0.286,0.593,1.547,5.086,2.259,0.559,0.694,,,,,,,,,,,,,,,,,,,
2015IB505,05/05/2015,3,1,IB,22,0.923349497,DBT_25,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,2.59,FP_25,< 0.040,< 0.434,3.213,10.927,0.797,< 0.091,0.143,,,,,,,,,,,,,,,,,,,
2015IB508,05/08/2015,4,1,IB,22,0.959975548,DBT_35,< 0.122,< 0.206,55.07,< 5.024,< 0.064,< 0.556,4.78,FP_35,< 0.040,0.787,6.737,7.984,3.378,0.753,0.742,,,,,,,,,,,,,,,,,,,
2015IB511,05/11/2015,5,0,IB,22,0.940434747,DBT_45,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_45,< 0.040,< 0.434,2.463,9.038,1.618,< 0.091,0.251,,,,,,,,,,,,,,,,,,,
2015IB514,05/14/2015,6,0,IB,22,-0.647245016,DBT_55,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,12.11,FP_55,< 0.029,0.45,14.373,1.371,0.505,0.069,0.248,,,,,,,,,,,,,,,,,,,
2015IB519,05/19/2015,7,0,IB,22,-0.691772349,DBT_65,< 0.122,< 0.206,< 2.347,113.83,< 0.064,< 0.556,14.39,FP_65,< 0.029,0.254,1.822,< 0.938,1.42,< 0.047,0.385,,,,,,,,,,,,,,,,,,,
2015IB523,05/23/2015,8,0,IB,22,0.14903099,DBT_74,< 0.122,< 0.206,< 2.347,525.29,< 0.064,< 0.556,2.44,FP_75,0.08,< 0.061,0.455,< 0.938,0.834,0.114,0.072,,,,,,,,,,,,,,,,,,,
2015IB527,05/27/2015,9,0,IB,22,-0.368006341,DBT_85,35.21,< 0.206,< 2.347,< 5.024,< 0.064,4.35,< 0.182,FP_85,< 0.029,0.745,0.92,< 0.938,4,< 0.047,1.332,,,,,,,,,,,,,,,,,,,
2015IB603,06/03/2015,10,0,IB,22,-0.014433581,DBT_95,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015MB430,04/30/2015,1,0,MC,19,-0.353493196,DBT_9,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_6,< 0.040,< 0.434,< 0.202,< 0.618,< 0.148,0.438,0.822,,,,,,,,,,,,,,,,,,,
2015MB502,05/02/2015,2,1,MC,19,0.201578938,DBT_16,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,5.57,FP_16,< 0.040,< 0.434,3.673,18.058,4.076,< 0.091,0.662,,,,,,,,,,,,,,,,,,,
2015MB505,05/05/2015,3,1,MC,19,1.921999623,DBT_26,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,2.39,FP_26,< 0.040,< 0.434,3.029,9.855,1.793,0.747,0.494,,,,,,,,,,,,,,,,,,,
2015MB508,05/08/2015,4,1,MC,19,-0.232048789,DBT_36,8.62,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_36,< 0.040,< 0.434,5.253,3.875,1.601,0.301,0.506,,,,,,,,,,,,,,,,,,,
2015MB511,05/11/2015,5,0,MC,19,0.26244101,DBT_46,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_46,< 0.040,< 0.434,1.673,1.772,1.889,0.239,0.411,,,,,,,,,,,,,,,,,,,
2015MB514,05/14/2015,6,0,MC,19,0.038214312,DBT_56,14.63,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_56,< 0.029,< 0.061,3.221,5.3,3.03,< 0.047,0.28,,,,,,,,,,,,,,,,,,,
2015MB519,05/19/2015,7,0,MC,19,-0.365962884,DBT_66,65.33,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_66,< 0.029,< 0.061,0.368,< 0.938,0.562,0.277,0.145,,,,,,,,,,,,,,,,,,,
2015MB523,05/23/2015,8,0,MC,19,-0.142183679,DBT_75,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_76,0.33,< 0.061,< 0.057,7.236,2.705,0.493,0.897,,,,,,,,,,,,,,,,,,,
2015MB527,05/27/2015,9,0,MC,19,-0.071381344,DBT_86,< 0.122,348.04,274.85,< 5.024,< 0.064,119.99,< 0.182,FP_86,< 0.029,0.424,1.324,7.6,5.375,< 0.047,0.891,,,,,,,,,,,,,,,,,,,
2015MB603,06/03/2015,10,0,MC,19,-0.325275579,DBT_96,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015MO429,04/29/2015,1,0,MM,39,-0.054384445,DBT_6,< 0.122,< 0.206,< 2.347,< 5.024,47.01,3.06,1.07,FP_7,< 0.040,< 0.434,1.254,3.897,< 0.148,0.687,0.605,,,,,,,,,,,,,,,,,,,
2015MO502,05/02/2015,2,1,MM,39,0.096839806,DBT_17,22.76,< 0.206,26.78,< 5.024,< 0.064,4.16,4.04,FP_17,< 0.040,< 0.434,2.716,8.959,1.177,0.253,0.183,,,,,,,,,,,,,,,,,,,
2015MO505,05/05/2015,3,1,MM,39,1.63920203,DBT_27,17.62,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,8.55,FP_27,< 0.040,< 0.434,1.872,23.514,4.326,2.60E-01,0.137,,,,,,,,,,,,,,,,,,,
2015MO508,05/08/2015,4,1,MM,39,0.936613526,DBT_37,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,5.47,3.72,FP_37,< 0.040,< 0.434,3.226,9.407,5.729,0.164,0.469,,,,,,,,,,,,,,,,,,,
