merge_code,date,time.block,planting,site_code,per_corn,mortality,DBT_sample_id,DBT_dinotefuran,DBT_nitenpyram,DBT_thiamethoxam,DBT_clothianidin,DBT_imidacloprid,DBT_acetamiprid,DBT_thiacloprid,Pollen.sample_id,FP_dinotefuran,FP_nitenpyram,FP_thiamethoxam,FP_clothianidin,FP_imidacloprid,FP_acetamiprid,FP_thiacloprid,DBT_dinotefuran_detected,DBT_nitenpyram_detected,DBT_thiamethoxam_detected,DBT_clothianidin_detected,DBT_imidacloprid_detected,DBT_acetamiprid_detected,DBT_thiacloprid_detected,FP_dinotefuran_detected,FP_nitenpyram_detected,FP_thiamethoxam_detected,FP_clothianidin_detected,FP_imidacloprid_detected,FP_acetamiprid_detected,FP_thiacloprid_detected,DBT_any_detected,FP_any_detected,DBT_total_neonic,FP_total_neonic
2015IB523,5/23/2015,8,no,IB,22,0.14903099,DBT_74,0.122,0.206,2.347,525.29,0.064,0.556,2.44,FP_75,0.08,0.061,0.455,0.938,0.834,0.114,0.072,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,531.025,2.554
2015IB527,5/27/2015,9,no,IB,22,-0.368006341,DBT_85,35.21,0.206,2.347,5.024,0.064,4.35,0.182,FP_85,0.029,0.745,0.92,0.938,4,0.047,1.332,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,47.383,8.011
2015IB603,6/3/2015,10,no,IB,22,-0.014433581,DBT_95,0.122,0.206,2.347,5.024,0.064,0.556,0.182,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.501,NA
2015MB430,4/30/2015,1,no,MC,19,-0.353493196,DBT_9,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_6,0.04,0.434,0.202,0.618,0.148,0.438,0.822,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8.501,2.702
2015MB502,5/2/2015,2,yes,MC,19,0.201578938,DBT_16,0.122,0.206,2.347,5.024,0.064,0.556,5.57,FP_16,0.04,0.434,3.673,18.058,4.076,0.091,0.662,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,13.889,27.034
2015MB505,5/5/2015,3,yes,MC,19,1.921999623,DBT_26,0.122,0.206,2.347,5.024,0.064,0.556,2.39,FP_26,0.04,0.434,3.029,9.855,1.793,0.747,0.494,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,10.709,16.392
2015MB508,5/8/2015,4,yes,MC,19,-0.232048789,DBT_36,8.62,0.206,2.347,5.024,0.064,0.556,0.182,FP_36,0.04,0.434,5.253,3.875,1.601,0.301,0.506,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,16.999,12.01
2015MB511,5/11/2015,5,no,MC,19,0.26244101,DBT_46,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_46,0.04,0.434,1.673,1.772,1.889,0.239,0.411,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,8.501,6.458
2015MB514,5/14/2015,6,no,MC,19,0.038214312,DBT_56,14.63,0.206,2.347,5.024,0.064,0.556,0.182,FP_56,0.029,0.061,3.221,5.3,3.03,0.047,0.28,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,23.009,11.968
2015MB519,5/19/2015,7,no,MC,19,-0.365962884,DBT_66,65.33,0.206,2.347,5.024,0.064,0.556,0.182,FP_66,0.029,0.061,0.368,0.938,0.562,0.277,0.145,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,73.709,2.38
2015MB523,5/23/2015,8,no,MC,19,-0.142183679,DBT_75,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_76,0.33,0.061,0.057,7.236,2.705,0.493,0.897,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,8.501,11.779
