yr_site,site_abv,% corn,daily mortality_plt,daily_mort_may,Hive_No,Interval ,seam_chg,bee_chg,cap_chg,open_chg,pollen_chg,nectar_chg
2015SC,SC,0.08,0.5578958017,0.0858694959,48,1,0,219.04,5695.04,1314.24,-1697.56,5311.72
2015SC,SC,0.08,0.5578958017,0.0858694959,49,1,-2,-657.12,-4654.6,-6352.16,2080.88,10075.84
2015HR,HR,0.3,0.959180946,0.0058534951,51,1,-5,-6735.48,547.6,2518.96,-766.64,2354.68
2015HR,HR,0.3,0.959180946,0.0058534951,53,1,3,766.64,-3559.4,-3066.56,164.28,11225.8
2015HR,HR,0.3,0.959180946,0.0058534951,54,1,4,-1040.44,4216.52,-602.36,1095.2,8816.36
2015BG,BG,0.22,1.051359775,0.1199481078,59,1,1,-930.92,-3614.16,-5476,-3066.56,22232.56
2015BG,BG,0.22,1.051359775,0.1199481078,60,1,-8,-5421.24,-4983.16,-6133.12,-1369,23765.84
2015TV,TV,0.31,0.951703623,0.1124110434,62,1,-3,-4243.9,2957.04,2518.96,547.6,5065.3
2015TV,TV,0.31,0.951703623,0.1124110434,63,1,-7,-9692.52,-4052.24,657.12,1642.8,7775.92
2015IB,IB,0.22,0.567821225,0.0553418123,66,1,4,-1588.04,-2245.16,-4599.84,492.84,10623.44
2015IB,IB,0.22,0.567821225,0.0553418123,67,1,6,-1423.76,-2135.64,-54.76,-383.32,16920.84
2015MO,MO,0.39,0.8908851207,0.1168090713,1,2,-4,-1916.6,-54.76,1971.36,930.92,1095.2
2015MO,MO,0.39,0.8908851207,0.1168090713,2,2,8,8597.32,2464.2,1697.56,2135.64,2847.52
2015SC,SC,0.08,0.5578958017,0.0858694959,3,2,1,2847.52,54.76,-1971.36,602.36,1807.08
2015SC,SC,0.08,0.5578958017,0.0858694959,4,2,4,2683.24,-219.04,-1861.84,3121.32,1533.28
2015HR,HR,0.3,0.959180946,0.0058534951,5,2,5,4709.36,766.64,-547.6,1259.48,2354.68
2015HR,HR,0.3,0.959180946,0.0058534951,6,2,8,8816.36,1588.04,-711.88,1259.48,602.36
2015FSR,FSR,0.49,1.676940638,0.1733944779,8,2,9,22999.2,3285.6,1040.44,2190.4,8214
2015FSR,FSR,0.49,1.676940638,0.1733944779,9,2,10,16537.52,1314.24,219.04,1642.8,11554.36
2015MB,MB,0.19,0.630509924,0.0933888412,10,2,5,12047.2,2245.16,766.64,2957.04,273.8
2015MB,MB,0.19,0.630509924,0.0933888412,11,2,6,11718.64,2683.24,985.68,2080.88,1314.24
2015WB,WB,0.3,0.3289819997,0.0909123122,12,2,4,12923.36,-2299.92,-1478.52,1642.8,3504.64
2015WB,WB,0.3,0.3289819997,0.0909123122,13,2,8,24313.44,3176.08,-876.16,1040.44,3230.84
2015MO,MO,0.39,0.8908851207,0.1168090713,16,2,5,6680.72,1314.24,2026.12,821.4,11225.8
2015SC,SC,0.08,0.5578958017,0.0858694959,17,2,15,6899.76,3066.56,1697.56,4052.24,3559.4
2015HR,HR,0.3,0.959180946,0.0058534951,20,2,2,5859.32,-1478.52,-4107,2847.52,985.68
2015FSR,FSR,0.49,1.676940638,0.1733944779,21,2,9,13854.28,3887.96,2026.12,-383.32,4216.52
2015MB,MB,0.19,0.630509924,0.0933888412,23,2,9,16099.44,4435.56,602.36,2080.88,3668.92
2015WB,WB,0.3,0.3289819997,0.0909123122,26,2,5,11554.36,1807.08,-1642.8,-328.56,3176.08
2015FSR,FSR,0.49,1.676940638,0.1733944779,27,2,6,7994.96,766.64,438.08,711.88,15716.12
2015WB,WB,0.3,0.3289819997,0.0909123122,28,2,-6,12101.96,-383.32,-930.92,1204.72,17139.88
2015DS,DS,0.01,0.9915874893,0.1618952447,31,2,-18,-15113.76,-7502.12,-3614.16,-985.68,-3559.4
2015DS,DS,0.01,0.9915874893,0.1618952447,33,2,-4,1423.76,-1752.32,-1752.32,1314.24,9747.28
2015MB,MB,0.19,0.630509924,0.0933888412,36,2,-4,14839.96,54.76,-1971.36,5476,-219.04
2015MO,MO,0.39,0.8908851207,0.1168090713,37,2,-2,-1423.76,711.88,-711.88,2573.72,4490.32
2015MO,MO,0.39,0.8908851207,0.1168090713,39,2,3,-4435.56,3011.8,3559.4,-54.76,3614.16
2015MO,MO,0.39,0.8908851207,0.1168090713,40,2,9,5749.8,5037.92,3997.48,-766.64,3176.08
2015SC,SC,0.08,0.5578958017,0.0858694959,45,2,-6,-711.88,-2299.92,-1149.96,-657.12,-6680.72
2015SC,SC,0.08,0.5578958017,0.0858694959,48,2,13,876.16,1971.36,2683.24,-109.52,-2354.68
2015SC,SC,0.08,0.5578958017,0.0858694959,49,2,-6,-6790.24,-328.56,0,-1314.24,-10787.72
2015HR,HR,0.3,0.959180946,0.0058534951,51,2,9,8542.56,4216.52,54.76,-109.52,-3340.36
2015HR,HR,0.3,0.959180946,0.0058534951,53,2,-5,547.6,4873.64,4271.28,1095.2,-5749.8
2015HR,HR,0.3,0.959180946,0.0058534951,54,2,6,8980.64,1314.24,821.4,1588.04,-3887.96
2015BG,BG,0.22,1.051359775,0.1199481078,59,2,-6,0,1533.28,2573.72,2792.76,-20315.96
2015BG,BG,0.22,1.051359775,0.1199481078,60,2,-16,-5530.76,-2135.64,-109.52,766.64,-27325.24
2015TV,TV,0.31,0.951703623,0.1124110434,62,2,6,4928.4,2135.64,602.36,-328.56,-1642.8
2015TV,TV,0.31,0.951703623,0.1124110434,63,2,-3,-4764.12,0,438.08,-273.8,-9911.56
2015IB,IB,0.22,0.567821225,0.0553418123,66,2,-4,-1149.96,4107,876.16,876.16,1478.52
2015IB,IB,0.22,0.567821225,0.0553418123,67,2,2,4326.04,4873.64,930.92,3176.08,-8268.76
2015MO,MO,0.39,0.8908851207,0.1168090713,1,3,4,711.88,109.52,-1040.44,-930.92,6680.72
2015MO,MO,0.39,0.8908851207,0.1168090713,2,3,-7,-7064.04,-1807.08,-711.88,-109.52,14073.32
2015SC,SC,0.08,0.5578958017,0.0858694959,3,3,1,-985.68,-1807.08,-657.12,1204.72,4490.32
2015SC,SC,0.08,0.5578958017,0.0858694959,4,3,0,4271.28,-547.6,602.36,657.12,4545.08
2015HR,HR,0.3,0.959180946,0.0058534951,5,3,2,6680.72,-438.08,54.76,4052.24,2628.48
2015HR,HR,0.3,0.959180946,0.0058534951,6,3,4,-3559.4,-1697.56,2135.64,5530.76,12430.52
2015FSR,FSR,0.49,1.676940638,0.1733944779,8,3,1,-7830.68,-4161.76,-2738,3449.88,15935.16
2015FSR,FSR,0.49,1.676940638,0.1733944779,9,3,-1,-6571.2,-1149.96,-1752.32,4271.28,13087.64
2015MB,MB,0.19,0.630509924,0.0933888412,10,3,0,-1752.32,-1588.04,-1259.48,383.32,5804.56
2015MB,MB,0.19,0.630509924,0.0933888412,11,3,-4,-9363.96,-4764.12,-930.92,-766.64,3723.68
2015WB,WB,0.3,0.3289819997,0.0909123122,12,3,7,-3340.36,3449.88,383.32,930.92,4818.88
2015WB,WB,0.3,0.3289819997,0.0909123122,13,3,-3,-11992.44,-2847.52,-383.32,3449.88,17632.72
