original_order,osu_run,sample_id,date,site_code,site_abbrv,site,initial_weight,final_weight,units,media,dinotefuran,nitenpyram,thiamethoxam,clothianidin,imidacloprid,acetamiprid,thiacloprid
82,82,FP_82,05/27/2015,DS,DS,Don Scott,3,2,ng/g,field_pollen,0.891,0.08,< 0.057,1.704,5.023,1.614,1.913
83,83,FP_83,05/27/2015,FSR,FSR,FSR,3,2.02,ng/g,field_pollen,< 0.029,1.311,< 0.057,< 0.938,10.658,< 0.047,2.107
84,84,FP_84,05/27/2015,HR,HR,Honeyrun,3,2.02,ng/g,field_pollen,< 0.029,0.311,< 0.057,7.52,4.81,< 0.047,1.489
85,85,FP_85,05/27/2015,IB,IB,IB1,3,2,ng/g,field_pollen,< 0.029,0.745,0.92,< 0.938,4,< 0.047,1.332
86,86,FP_86,05/27/2015,MC,MC,Mechanicsburg,3,2,ng/g,field_pollen,< 0.029,0.424,1.324,7.6,5.375,< 0.047,0.891
87,87,FP_87,05/27/2015,MM,MM,Moorman,3,2,ng/g,field_pollen,< 0.029,< 0.061,< 0.057,< 0.938,3.865,0.11,1.189
88,88,FP_88,05/27/2015,SC,SC,Scioto Darby,3,2.01,ng/g,field_pollen,1.13,< 0.061,< 0.057,< 0.938,6.915,< 0.047,1.674
89,89,FP_89,05/27/2015,TV,TV,Three Vs,3,2,ng/g,field_pollen,0.277,0.351,0.879,< 0.938,3.642,0.781,0.793
90,90,FP_90,05/27/2015,WB,WB,WB,3,1.99,ng/g,field_pollen,< 0.029,< 0.061,1.175,< 0.938,2.039,0.43,0.503
91,91,FP_91,05/07/2015,WV,WV,Westerville,3,1.99,ng/g,field_pollen,< 0.029,0.108,< 0.057,4.734,1.121,0.098,0.147
92,92,FP_92,05/10/2015,WV,WV,Westerville,3,2,ng/g,field_pollen,0.042,0.473,2.253,1.3,3.147,0.422,0.553
93,93,FP_93,05/16/2015,WV,WV,Westerville,3,2,ng/g,field_pollen,< 0.029,0.32,1.535,< 0.938,1.573,0.136,0.437
94,94,FP_94,05/24/2015,WV,WV,Westerville,3,1.98,ng/g,field_pollen,1.417,< 0.061,< 0.057,< 0.938,24.804,< 0.047,5.373
95,132,NB_P_132,8/4/2015,BG505,BG,Badger,6.1,2.09,ng/g,nuc_box_pollen,< 0.044,< 0.078,9.189,9.055,1.786,0.693,5.59E-01
96,133,NB_P_133,8/4/2015,TV519,TV,Three Vs,4.8,2.07,ng/g,nuc_box_pollen,< 0.044,< 0.078,2.702,3.951,1.921,0.266,0.865
97,134,NB_P_134,8/4/2015,TV505,TV,Three Vs,5.1,1.99,ng/g,nuc_box_pollen,0.366,0.923,3.831,46.556,0.425,1.123,0.427
98,135,NB_P_135,8/4/2015,SC505,SC,Scioto Darby,5.8,2,ng/g,nuc_box_pollen,< 0.044,< 0.078,1.816,8.293,1.471,0.204,0.584
99,136,NB_P_136,8/8/2015,TV519,TV,Three Vs,0.8,0.68,ng/g,nuc_box_pollen,< 0.044,< 0.078,1.014,2.829,5.07,0.624,1.303
100,137,NB_P_137,8/8/2015,TV505,TV,Three Vs,5.1,2.08,ng/g,nuc_box_pollen,< 0.044,< 0.078,3.51,7.468,0.893,< 0.029,< 0.064
101,138,NB_P_138,8/8/2015,SC505,SC,Scioto Darby,4.4,1.92,ng/g,nuc_box_pollen,< 0.044,< 0.078,10.201,25.177,4.64,0.5,< 0.064
102,139,NB_P_139,8/12/2015,BG505,BG,Badger,2,1.81,ng/g,nuc_box_pollen,< 0.044,< 0.078,9.106,11.112,3.955,< 0.029,0.179
103,140,NB_P_140,8/12/2015,TV519,TV,Three Vs,3.5,2.03,ng/g,nuc_box_pollen,< 0.044,< 0.078,1.667,< 0.402,1.113,< 0.029,0.415
104,141,NB_P_141,8/12/2015,TV505,TV,Three Vs,4.1,2.07,ng/g,nuc_box_pollen,< 0.044,0.45,2.559,5.923,1.148,< 0.029,0.289
105,142,NB_P_142,8/12/2015,SC505,SC,Scioto Darby,3.2,2.04,ng/g,nuc_box_pollen,0.187,< 0.078,4.479,35.739,1.156,< 0.029,0.549
106,143,NB_P_143,8/13/2015,DS519,DS,Don Scott,3.5,2.01,ng/g,nuc_box_pollen,< 0.044,< 0.078,8.691,1.901,2.598,0.202,< 0.064
107,144,NB_P_144,8/13/2015,MM505,MM,Moorman,3.5,2.01,ng/g,nuc_box_pollen,< 0.044,< 0.078,3.659,7.449,2.64,< 0.029,0.377
108,145,NB_P_145,8/13/2015,TV505,TV,Three Vs,2.9,2.06,ng/g,nuc_box_pollen,< 0.044,< 0.078,5.436,33.377,2.541,0.484,0.155
109,146,NB_P_146,8/16/2015,DS519,DS,Don Scott,3.4,1.96,ng/g,nuc_box_pollen,< 0.044,< 0.078,< 0.099,< 0.402,0.82,0.292,0.171
110,147,NB_P_147,8/16/2015,MM505,MM,Moorman,2.7,2,ng/g,nuc_box_pollen,< 0.044,0.359,3.599,6.458,0.82,0.319,< 0.064
111,148,NB_P_148,8/16/2015,TV505,TV,Three Vs,3.8,2.08,ng/g,nuc_box_pollen,< 0.044,< 0.078,8.404,32.138,8.268,< 0.029,0.518
112,149,NB_P_149,8/23/2015,DS519,DS,Don Scott,3.4,2.04,ng/g,nuc_box_pollen,< 0.044,< 0.078,0.881,< 0.402,1.067,0.319,0.288
113,150,NB_P_150,8/23/2015,MM505,MM,Moorman,3.3,1.99,ng/g,nuc_box_pollen,< 0.044,< 0.078,0.888,5.738,1.743,< 0.029,0.331
114,151,NB_P_151,8/23/2015,TV505,TV,Three Vs,3.6,2.09,ng/g,nuc_box_pollen,< 0.044,< 0.078,9.423,36.574,2.677,< 0.029,0.661
115,152,NB_P_152,8/25/2015,FSR505,FSR,FSR,3,2.05,ng/g,nuc_box_pollen,< 0.088,< 0.115,14.596,48.573,4.492,< 0.075,0.088
116,153,NB_P_153,8/25/2015,DS505 + Cloth,DS,Don Scott,3.2,2.02,ng/g,nuc_box_pollen,< 0.088,0.148,0.747,86.165,1.656,< 0.075,0.062
117,154,NB_P_154,8/25/2015,WB505,WB,WB,3,2.06,ng/g,nuc_box_pollen,< 0.088,< 0.115,2.217,14.671,0.801,< 0.075,0.454
118,155,NB_P_155,8/25/2015,DS505,DS,Don Scott,3.2,2.06,ng/g,nuc_box_pollen,< 0.088,< 0.115,1.765,4.607,0.383,0.312,0.428
119,156,NB_P_156,8/29/2015,FSR505,FSR,FSR,3.3,2.09,ng/g,nuc_box_pollen,< 0.088,< 0.115,12.119,46.7,2.148,0.302,0.083
120,157,NB_P_157,8/29/2015,DS505 + Cloth,DS,Don Scott,3.5,2.04,ng/g,nuc_box_pollen,< 0.088,1.104,2.109,78.51,2.358,0.454,0.263
121,158,NB_P_158,8/29/2015,WB505,WB,WB,2.8,2.01,ng/g,nuc_box_pollen,< 0.088,0.785,5.097,13.356,0.767,0.366,< 0.054
122,159,NB_P_159,8/29/2015,DS505,DS,Don Scott,3.5,2.05,ng/g,nuc_box_pollen,< 0.088,0.57,1.447,7.727,1.691,0.134,< 0.054
123,160,NB_P_160,9/2/2015,FSR505,FSR,FSR,3.2,1.97,ng/g,nuc_box_pollen,< 0.088,< 0.115,4.168,13.257,0.93,0.176,1.56E-01
124,161,NB_P_161,9/2/2015,DS505 + Cloth,DS,Don Scott,2.9,2.09,ng/g,nuc_box_pollen,< 0.088,< 0.115,5.502,103.676,1.372,0.186,0.196
125,162,NB_P_162,9/2/2015,WB505,WB,WB,3,2.01,ng/g,nuc_box_pollen,< 0.088,0.999,3.663,24.158,0.993,< 0.075,0.288
126,163,NB_P_163,9/2/2015,DS505,DS,Don Scott,3.3,1.93,ng/g,nuc_box_pollen,< 0.088,< 0.115,1.339,10.906,1.992,0.162,0.266
127,164,NB_P_164,9/3/2015,DS511 + Cloth,DS,Don Scott,3.1,2.09,ng/g,nuc_box_pollen,< 0.088,< 0.115,< 0.221,< 0.779,0.61,< 0.075,0.214
128,165,NB_P_165,9/3/2015,HR508,HR,Honeyrun,4.5,1.97,ng/g,nuc_box_pollen,< 0.088,< 0.115,21.034,23.947,2.756,< 0.075,0.142
129,166,NB_P_166,9/3/2015,DS511,DS,Don Scott,4.1,1.98,ng/g,nuc_box_pollen,< 0.088,< 0.115,1.54,78.837,1.579,5.71E-01,0.176
130,167,NB_P_167,9/3/2015,FSR502,FSR,FSR,4,2.1,ng/g,nuc_box_pollen,< 0.088,< 0.115,29.824,152.612,2.034,< 0.075,0.123
131,168,NB_P_168,9/4/2015,FSR519,FSR,FSR,5.3,2.06,ng/g,nuc_box_pollen,< 0.088,< 0.115,0.398,0.909,0.409,< 0.075,0.149
132,169,NB_P_169,9/4/2015,FSR511,FSR,FSR,5.5,1.99,ng/g,nuc_box_pollen,< 0.088,< 0.115,2.032,10.351,3.223,0.185,0.207
133,170,NB_P_170,9/4/2015,DS519,DS,Don Scott,4.9,2.07,ng/g,nuc_box_pollen,< 0.088,0.292,< 0.221,< 0.779,0.388,0.114,0.309
134,171,NB_P_171,9/4/2015,SC519,SC,Scioto Darby,5.2,2.09,ng/g,nuc_box_pollen,< 0.088,0.631,0.243,< 0.779,1.26E+00,0.146,1.60E-01
135,172,NB_P_172,9/4/2015,DS519 + Cloth,DS,Don Scott,4.3,2.01,ng/g,nuc_box_pollen,< 0.088,0.488,< 0.221,19.803,0.163,< 0.075,0.169
136,173,NB_P_173,9/6/2015,FSR505,FSR,FSR,3.3,2.01,ng/g,nuc_box_pollen,0.36,0.46,5.311,18.626,1.348,0.144,0.148
137,174,NB_P_174,9/6/2015,DS505 + Cloth,DS,Don Scott,3.1,1.98,ng/g,nuc_box_pollen,< 0.088,0.457,1.615,121.857,1.267,0.174,< 0.054
138,175,NB_P_175,9/6/2015,WB505,WB,WB,3.3,1.99,ng/g,nuc_box_pollen,< 0.088,1.873,3.464,15.63,0.725,0.348,0.191
139,176,NB_P_176,9/6/2015,DS505,DS,Don Scott,3.5,2.07,ng/g,nuc_box_pollen,< 0.088,< 0.115,1.676,7.197,2.845,< 0.075,0.18
140,177,NB_P_177,9/7/2015,DS511 + Cloth,DS,Don Scott,2.9,1.99,ng/g,nuc_box_pollen,< 0.088,0.488,0.794,83.337,0.993,0.194,9.30E-02
141,178,NB_P_178,9/7/2015,HR508,HR,Honeyrun,2.6,1.99,ng/g,nuc_box_pollen,< 0.088,< 0.115,9.273,30.902,2.951,0.091,1.19E-01
142,179,NB_P_179,9/7/2015,DS511,DS,Don Scott,2.3,2,ng/g,nuc_box_pollen,< 0.088,< 0.115,0.728,2.171,1.333,0.233,1.66E-01
143,180,NB_P_180,9/7/2015,FSR502,FSR,FSR,3.3,1.98,ng/g,nuc_box_pollen,< 0.088,0.601,26.518,135.5,3.806,< 0.075,0.139
144,181,NB_P_181,9/8/2015,FSR519,FSR,FSR,3.1,2,ng/g,nuc_box_pollen,< 0.088,0.243,< 0.221,< 0.779,0.378,< 0.075,0.204
145,182,NB_P_182,9/8/2015,FSR511,FSR,FSR,3,2.14,ng/g,nuc_box_pollen,< 0.088,0.946,13.896,18.349,26.045,0.312,< 0.054
146,183,NB_P_183,9/8/2015,DS519,DS,Don Scott,2.7,1.92,ng/g,nuc_box_pollen,< 0.088,1.343,< 0.221,< 0.779,1.329,0.079,0.263
147,184,NB_P_184,9/8/2015,SC519,SC,Scioto Darby,3.2,2.06,ng/g,nuc_box_pollen,< 0.088,< 0.115,0.846,< 0.779,3.299,< 0.075,0.418
148,185,NB_P_185,9/8/2015,DS519 + Cloth,DS,Don Scott,3,2.1,ng/g,nuc_box_pollen,< 0.088,0.952,1.196,154.951,1.83,0.305,0.34
149,186,NB_P_186,9/11/2015,DS511 + Cloth,DS,Don Scott,3.3,2.02,ng/g,nuc_box_pollen,< 0.088,1.185,0.385,301.236,3.351,0.849,0.659
150,187,NB_P_187,9/11/2015,HR508,HR,Honeyrun,3.4,2.26,ng/g,nuc_box_pollen,< 0.088,< 0.115,11.486,82.863,6.105,< 0.075,0.25
151,188,NB_P_188,9/11/2015,DS511,DS,Don Scott,2.9,1.99,ng/g,nuc_box_pollen,< 0.088,2.657,4.358,1.578,1.511,5.44E-01,0.329
152,189,NB_P_189,9/11/2015,FSR502,FSR,FSR,3.1,2.05,ng/g,nuc_box_pollen,< 0.088,0.569,56.496,419.497,7.575,< 0.075,0.344
153,190,NB_P_190,9/12/2015,FSR519,FSR,FSR,2.7,2,ng/g,nuc_box_pollen,< 0.088,2.644,0.743,< 0.779,0.387,< 0.075,< 0.054
154,191,NB_P_191,9/12/2015,FSR511,FSR,FSR,2.1,2.09,ng/g,nuc_box_pollen,< 0.088,< 0.115,19.077,21.93,67.366,0.089,0.29
155,192,NB_P_192,9/12/2015,DS519,DS,Don Scott,2.8,2.04,ng/g,nuc_box_pollen,< 0.088,1.239,< 0.221,< 0.779,2.222,0.576,0.264
156,193,NB_P_193,9/12/2015,SC519,SC,Scioto Darby,2.7,2,ng/g,nuc_box_pollen,< 0.088,< 0.115,< 0.221,< 0.779,2.027,0.74,< 0.054
157,194,NB_P_194,9/12/2015,DS519 + Cloth,DS,Don Scott,3.2,1.95,ng/g,nuc_box_pollen,< 0.088,< 0.115,1.548,141.504,1.233,0.297,1.191
158,195,NB_P_195,9/15/2015,DS511 + Cloth,DS,Don Scott,2.9,2.17,ng/g,nuc_box_pollen,< 0.088,< 0.115,3.007,217.772,2.951,0.335,0.267
159,196,NB_P_196,9/15/2015,HR508,HR,Honeyrun,2.1,2.13,ng/g,nuc_box_pollen,< 0.088,0.748,14.676,67.729,5.753,< 0.075,0.604
160,197,NB_P_197,9/15/2015,DS511,DS,Don Scott,1.8,1.86,ng/g,nuc_box_pollen,< 0.088,1.093,< 0.221,< 0.779,1.176,< 0.075,0.211
161,198,NB_P_198,9/15/2015,FSR502,FSR,FSR,3,2.16,ng/g,nuc_box_pollen,< 0.088,1.19,44.906,358.343,6.418,< 0.075,0.256
162,199,NB_P_199,9/16/2015,FSR519,FSR,FSR,2.8,1.98,ng/g,nuc_box_pollen,< 0.088,5.841,0.789,< 0.779,0.654,< 0.075,0.069
163,200,NB_P_200,9/16/2015,FSR511,FSR,FSR,2.5,2.08,ng/g,nuc_box_pollen,< 0.088,< 0.115,18.274,43.449,46.489,< 0.075,< 0.054
164,201,NB_P_201,9/16/2015,DS519,DS,Don Scott,2.7,2.13,ng/g,nuc_box_pollen,< 0.088,< 0.115,< 0.221,< 0.779,0.505,< 0.075,1.49E-01
165,202,NB_P_202,9/16/2015,SC519,SC,Scioto Darby,2.8,2.05,ng/g,nuc_box_pollen,< 0.088,< 0.115,< 0.221,< 0.779,2.126,< 0.075,0.196
166,203,NB_P_203,9/16/2015,DS519 + Cloth,DS,Don Scott,2.6,2.12,ng/g,nuc_box_pollen,< 0.088,< 0.115,< 0.221,52.953,1.558,0.604,0.117
167,204,NB_P_204,9/17/2015,TV514 + Cloth,TV,Three Vs,3.8,2.03,ng/g,nuc_box_pollen,< 0.044,< 0.078,< 0.099,46.823,2.197,< 0.029,0.458
